,Actual,Sim Avg (0.00),%<Act (0.00),Sim Avg (0.05),%<Act (0.05),Sim Avg (0.10),%<Act (0.10),Sim Avg (0.15),%<Act (0.15),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.25),%<Act (0.25),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.35),%<Act (0.35),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.45),%<Act (0.45),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.55),%<Act (0.55),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.65),%<Act (0.65),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.75),%<Act (0.75),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.85),%<Act (0.85),Sim Avg (0.90),%<Act (0.90),Sim Avg (0.95),%<Act (0.95),Sim Avg (1.00),%<Act (1.00)
10%,-2.5105286279197534,-1.5501633655158853,11.899999999999999,-1.5704199635640999,11.899999999999999,-1.6243346088621815,13.100000000000001,-1.710262007444008,15.7,-1.8240440231030952,19.1,-1.9573900599681302,23.5,-2.1145418664716753,29.7,-2.2873544524081444,37.4,-2.4721231774877523,47.0,-2.663557563066127,55.300000000000004,-2.8634024658133153,65.4,-3.067441640596995,73.8,-3.2724382955833553,80.80000000000001,-3.487154612635964,86.8,-3.7040849701676244,91.8,-3.9238815250763937,95.19999999999999,-4.145886005602887,97.0,-4.3680976483740865,98.0,-4.592489862779896,98.8,-4.8177410934748135,99.4,-5.043644378798575,99.6
20%,-1.7245919169751611,-1.0204901617551976,18.4,-1.0297585246088088,18.0,-1.0667888840194544,19.7,-1.1240339076825057,21.9,-1.198457485563687,24.6,-1.2881105004450286,27.700000000000003,-1.390564435345681,32.800000000000004,-1.503564273124116,37.1,-1.6241021056592375,42.6,-1.7480199914192813,50.0,-1.8768097297389172,57.099999999999994,-2.0089990441406447,62.6,-2.146474235998721,69.0,-2.284188661558972,74.5,-2.4280502005466165,79.7,-2.57083664428026,84.0,-2.712786880729867,87.6,-2.858989287200582,90.9,-3.0068888589322396,93.5,-3.1589785412041183,95.5,-3.30823009891484,96.39999999999999
30%,-1.2838304609299698,-0.6376288740520547,20.3,-0.6472688954942425,20.7,-0.668140894657812,21.4,-0.7044320577958958,22.8,-0.7516473333034425,23.799999999999997,-0.8100123323369932,26.3,-0.8707098076815523,29.4,-0.9394561413384201,32.4,-1.0133715901053117,35.4,-1.091644543652588,38.7,-1.175251461321155,43.4,-1.2582311787900067,46.800000000000004,-1.344091172588006,52.2,-1.4325219354909784,57.3,-1.5201202029180105,60.4,-1.6112000719924855,64.7,-1.7022400129110058,68.7,-1.792503962489518,72.5,-1.885362166005939,76.2,-1.9786696242817943,79.60000000000001,-2.073554260861366,82.1
40%,-0.8226166942203457,-0.3087550299916674,24.9,-0.31412910051511506,25.2,-0.32537663611198825,26.0,-0.34429413699441647,26.8,-0.3678918416416368,27.3,-0.3937814088314204,29.099999999999998,-0.42543288957881,30.2,-0.4588663463342992,31.4,-0.4949330443939452,33.4,-0.5339925685729545,35.5,-0.5711402402122379,36.6,-0.6122264818055337,38.5,-0.6544857123270713,41.0,-0.6958031306635655,43.0,-0.7399029309763684,45.300000000000004,-0.7818258339037972,47.4,-0.8275796236090947,49.8,-0.8707045536163548,52.2,-0.9151465682162974,54.1,-0.9603582223640083,56.89999999999999,-1.007207321981127,58.9
50%,-0.41107735001208945,-0.000141721249984462,30.4,-0.00040192884240551407,30.2,-0.0011732077225579936,29.7,-0.0016031627441192152,30.4,-0.0021066500242995804,30.8,-0.006804490578307602,30.4,-0.008207020353663335,30.3,-0.009890421674173039,30.0,-0.010201447362104947,30.8,-0.011518829033254819,30.7,-0.011580068430228956,30.8,-0.0129584265803639,31.1,-0.013125834360461174,30.8,-0.012863912816369854,30.5,-0.01360524287348962,30.5,-0.01355621726879665,30.4,-0.013574089523415744,30.5,-0.013706984843112066,30.099999999999998,-0.014461528119738854,30.2,-0.014686243810832566,30.0,-0.014646021369568881,29.9
60%,0.10747564110265245,0.304123987838698,40.300000000000004,0.30882154990919697,40.0,0.3196675340564842,39.7,0.33624415192067375,38.3,0.3565830325075452,37.0,0.38147551719604383,36.0,0.40821615787293336,34.5,0.4402292532781781,32.9,0.47716685241152473,31.3,0.5140127798022804,29.2,0.553155162876195,27.800000000000004,0.591988052005407,26.3,0.630892749153774,25.2,0.6724169230150474,24.0,0.7167804455288006,22.6,0.7596634346222148,21.0,0.8023360013702784,19.3,0.8461457265400548,18.0,0.8901011275166345,16.7,0.9329153853425369,15.5,0.9769017781866637,14.7
70%,0.6436872274732339,0.6298968900193139,50.8,0.6366329697690406,50.9,0.6599333590080997,49.9,0.6948049926863683,47.5,0.741854820200617,45.1,0.7983680984911337,41.3,0.8615401358875852,39.300000000000004,0.9295796307663292,35.6,1.0014078972192224,32.5,1.0782338397563707,28.999999999999996,1.1555762803909992,25.8,1.2379991385159628,22.900000000000002,1.3222171694212477,19.8,1.4074782694329377,17.299999999999997,1.4931454815174843,15.0,1.5819688033712596,11.799999999999999,1.6708329543595222,10.6,1.7605594771164943,9.3,1.8505715810433245,7.5,1.9427685633806173,6.3,2.0356471415454345,4.7
80%,1.0708429060898275,1.0153803957160916,53.7,1.0241321662951055,52.5,1.0582356268264492,50.6,1.1155727409552987,48.6,1.1896836108247355,44.5,1.2823098126946442,40.1,1.383811404847298,34.8,1.4960892061683313,29.2,1.6172103417107864,24.7,1.7410764316968947,20.1,1.8677704073351544,16.5,1.9998969315514932,13.3,2.136010251997687,9.2,2.276706511969256,6.9,2.416564017244378,5.6000000000000005,2.5595748846480704,3.6999999999999997,2.702353978111283,2.6,2.848570251883884,2.0,2.996051044526618,1.3,3.1442762814685414,0.8999999999999999,3.291759327000989,0.7000000000000001
90%,1.7824578791182848,1.5421372747701427,62.5,1.5611437498830458,61.0,1.6155252382084584,58.9,1.700381835469282,54.50000000000001,1.8147690849334348,48.6,1.952946856100135,42.199999999999996,2.1063622033512717,34.8,2.2743357206931076,27.1,2.4564784493080962,20.599999999999998,2.6473478554592385,14.899999999999999,2.844049651932402,10.0,3.04648458135064,6.4,3.2557872853846455,4.0,3.4679059820330633,2.1999999999999997,3.68450080946848,1.4000000000000001,3.900839580849075,1.0,4.117625496465759,0.5,4.3384491778001175,0.5,4.564788077225925,0.0,4.792101419711585,0.0,5.019697252482156,0.0
10th,2.1802027460965907,2.043374404434515,57.4,2.0703922983846077,55.00000000000001,2.1440292523837234,51.800000000000004,2.2537450642575445,47.599999999999994,2.407610218247363,40.2,2.5878062015781143,31.900000000000002,2.7974166233319138,24.2,3.0252132950852393,16.5,3.2709379403309464,10.8,3.526225517208597,5.7,3.791296404169904,3.1,4.065921758429208,1.3,4.345647494914885,0.6,4.627700570162035,0.3,4.913450657320962,0.0,5.204668289560319,0.0,5.4997948953317115,0.0,5.798376599259346,0.0,6.097848123516953,0.0,6.399250847060811,0.0,6.702171082796389,0.0
9th,2.18584591674749,2.10916519901133,53.300000000000004,2.1336291684978677,52.7,2.2078220021921515,50.6,2.3238341128811455,44.6,2.481068526478353,37.6,2.668958057564975,28.4,2.8866479561534324,21.3,3.125141492125909,14.299999999999999,3.3795568530738396,8.9,3.6456090157058068,4.1000000000000005,3.9194435271638604,2.1,4.19988633541093,0.8999999999999999,4.485967308133387,0.4,4.778374440863535,0.3,5.07394665212578,0.0,5.3749900442012875,0.0,5.678480860554643,0.0,5.980979494066669,0.0,6.2883946719062935,0.0,6.597927437882547,0.0,6.910514344567904,0.0
8th,2.2643676501538605,2.176155611453569,54.7,2.2013944535832053,53.7,2.284019595175968,50.7,2.4033304628469696,44.3,2.566828788195494,37.5,2.7604784202844965,28.499999999999996,2.9853772814639585,21.3,3.237090755107827,13.600000000000001,3.4996936639218155,7.3,3.773267953915988,3.6999999999999997,4.057371358188295,1.9,4.347082339585251,1.0,4.644141820722773,0.4,4.9451273003734535,0.1,5.250751613045444,0.0,5.558983892520462,0.0,5.8732781408507035,0.0,6.193862678588883,0.0,6.515738356077149,0.0,6.838514105636239,0.0,7.161363025823636,0.0
7th,2.264764346063061,2.260404733668823,51.2,2.2868990017672677,49.7,2.366200556404335,46.7,2.4969416391098993,40.0,2.66285315880271,32.9,2.8666913923645843,24.4,3.0976086520957287,18.3,3.3519738494177025,10.9,3.625043299196937,5.5,3.9122717913038505,2.6,4.204440979844124,1.2,4.50470148947087,0.8,4.809180332185176,0.1,5.122442286560941,0.0,5.442268214324677,0.0,5.76920079662961,0.0,6.0979274166669155,0.0,6.427862922945271,0.0,6.760616844886517,0.0,7.096887271730085,0.0,7.4328883827788,0.0
6th,2.333568167348753,2.3535287237390805,50.5,2.3796534327393966,49.0,2.4588715771174767,45.4,2.5963524188248845,38.2,2.7744001724480882,30.599999999999998,2.9871321015707184,23.0,3.2296082656840217,17.0,3.493349839276095,10.2,3.7780947861409517,5.1,4.072917289941001,2.7,4.375117174369636,1.0999999999999999,4.687095239064382,0.5,5.010220397532826,0.2,5.338480412035886,0.0,5.67080660245831,0.0,6.007550554145554,0.0,6.348584534925125,0.0,6.693398486706052,0.0,7.0420715932878455,0.0,7.39136957775679,0.0,7.742773259463681,0.0
5th,2.448800879737259,2.4513217589711167,51.0,2.485435382642546,49.1,2.574269700214684,46.0,2.7114221433683197,39.1,2.9017123033398446,31.5,3.12738186940941,22.900000000000002,3.381225404992481,16.2,3.655516467536894,9.4,3.9479387480743933,5.0,4.254859298022091,2.1999999999999997,4.577772590512646,0.8999999999999999,4.9081645504681966,0.5,5.244695713612909,0.1,5.5847839440100655,0.0,5.933426444423815,0.0,6.284478666090713,0.0,6.639472519264091,0.0,6.999356874000946,0.0,7.360878660978719,0.0,7.7262242946844015,0.0,8.092616306160602,0.0
4th,2.72663419621866,2.58568990503415,57.49999999999999,2.6119187557223977,57.099999999999994,2.705989394700673,52.1,2.85998315341986,45.2,3.056138996006695,36.6,3.293945483680193,27.500000000000004,3.5530255107815263,18.9,3.8423972675376925,11.1,4.150214894513366,6.0,4.474529477796238,3.2,4.813681014596812,1.4000000000000001,5.164032511250737,0.8999999999999999,5.521413342775779,0.1,5.886417612723119,0.0,6.250453499865053,0.0,6.61916972079003,0.0,6.992080478719397,0.0,7.367797701102481,0.0,7.746564005106339,0.0,8.126089546173633,0.0,8.509271438754517,0.0
3rd,2.8102497393431793,2.744306929822453,54.1,2.7740743931768455,53.800000000000004,2.8724446385159434,48.6,3.031697304038924,41.5,3.2447111818483982,32.6,3.4990887494113707,24.3,3.784308708734614,15.4,4.08855061247286,9.3,4.418212189897884,4.5,4.769399262771231,2.1,5.134676022035939,0.8,5.5097763778651005,0.5,5.891786264654333,0.1,6.28011151156125,0.0,6.674889084921499,0.0,7.072755136623602,0.0,7.473481119184203,0.0,7.8770302001136505,0.0,8.283594203840023,0.0,8.694817554037652,0.0,9.109339666749868,0.0
2nd,3.110009407572402,2.941038930198198,59.199999999999996,2.983622525994533,56.99999999999999,3.100882890086431,52.1,3.2782470933236,43.7,3.518064663575537,34.599999999999994,3.7986101717537784,25.1,4.112925172672475,16.8,4.454191104833677,9.3,4.814847931001361,5.4,5.1950173117492815,2.6,5.588353110049326,1.2,5.995828212313575,0.5,6.412205074422318,0.2,6.83469666700908,0.0,7.26484967455786,0.0,7.700182870996561,0.0,8.141893945005991,0.0,8.587478903928275,0.0,9.035640530572062,0.0,9.486746904174343,0.0,9.94068147163292,0.0
Best,3.8754269166957123,3.207919210463102,77.10000000000001,3.288447912611501,74.7,3.462225462215336,68.7,3.706763980196697,60.0,3.9957068256014017,48.5,4.326293490024465,35.3,4.693097155058363,25.0,5.088837733927065,16.3,5.506427886737735,7.7,5.9418852819366075,4.5,6.3943375778031815,2.6,6.8604344165028115,1.2,7.339734384484133,0.4,7.830480611623514,0.2,8.329968463912243,0.1,8.836884594616848,0.1,9.34768092336248,0.0,9.8626376517901,0.0,10.38079223633476,0.0,10.901330336459262,0.0,11.423433104134743,0.0
